# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 2 (30086) P:80 I:1000 C:    183 Min:     10 Act:   18 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    183 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    193 Min:     10 Act:   14 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    193 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    193 Min:     10 Act:   12 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    193 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    203 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    203 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    203 Min:     10 Act:   12 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    203 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    213 Min:     10 Act:   14 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    213 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    213 Min:     10 Act:   15 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    213 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    224 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    224 Min:     11 Act:   13 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    223 Min:     10 Act:   15 Avg:   11 Max:      25
